,Mkt-RF,RF,Month,RM,GROSS-RM,GROSS-RF,CumRet-RM,CumRet-RF
614,-0.0027,0.0043,1977-09-01,0.0015999999999999999,1.0016,1.0043,1.1859559989330266,1.6365152229819147
615,-0.0438,0.0049,1977-10-01,-0.0389,0.9611,1.0049,1.1398223105745318,1.6445341475745259
616,0.04,0.005,1977-11-01,0.045,1.045,1.005,1.1911143145503855,1.6527568183123984
617,0.0027,0.0049,1977-12-01,0.0076,1.0076,1.0049,1.2001667833409686,1.660855326722129
618,-0.0601,0.0049,1978-01-01,-0.0552,0.9448,1.0049,1.1339175769005472,1.6689935178230673
619,-0.0138,0.0046,1978-02-01,-0.0092,0.9908,1.0046,1.1234855351930622,1.6766708880050534
620,0.0285,0.0053,1978-03-01,0.033800000000000004,1.0338,1.0053,1.1614593462825877,1.6855572437114803
621,0.0788,0.0054,1978-04-01,0.0842,1.0842,1.0054,1.2592542232395816,1.6946592528275224
622,0.0176,0.0051,1978-05-01,0.0227,1.0227,1.0051,1.28783929410712,1.703302015016943
623,-0.0169,0.0054,1978-06-01,-0.011499999999999998,0.9885,1.0054,1.273029142224888,1.7124998458980345
624,0.051100000000000007,0.005600000000000001,1978-07-01,0.05670000000000001,1.0567,1.0056,1.3452098945890392,1.7220898450350637
625,0.0375,0.005600000000000001,1978-08-01,0.0431,1.0431,1.0056,1.4031884410458266,1.7317335481672602
626,-0.0143,0.0062,1978-09-01,-0.0081,0.9919,1.0062,1.3918226146733554,1.742470296165897
627,-0.1191,0.0068000000000000005,1978-10-01,-0.1123,0.8877,1.0068,1.2355209350455376,1.754319094179825
628,0.0271,0.006999999999999999,1978-11-01,0.0341,1.0341,1.007,1.2776521989305905,1.7665993278390837
629,0.0088,0.0078,1978-12-01,0.0166,1.0166,1.0078,1.2988612254328382,1.7803788025962286
630,0.0423,0.0077,1979-01-01,0.049999999999999996,1.05,1.0077,1.3638042867044802,1.7940877193762197
631,-0.0356,0.0073,1979-02-01,-0.0283,0.9717,1.0073,1.3252086253907434,1.8071845597276663
632,0.0568,0.008100000000000001,1979-03-01,0.0649,1.0649,1.0081,1.4112146651786026,1.8218227546614605
633,-0.0006,0.008,1979-04-01,0.0074,1.0074,1.008,1.4216576537009245,1.8363973366987523
634,-0.0221,0.008199999999999999,1979-05-01,-0.013900000000000003,0.9861,1.0082,1.4018966123144816,1.851455794859682
635,0.0385,0.008100000000000001,1979-06-01,0.0466,1.0466,1.0081,1.4672249944483364,1.8664525867980453
636,0.008199999999999999,0.0077,1979-07-01,0.015899999999999997,1.0159,1.0077,1.490553871860065,1.8808242717163903
637,0.0553,0.0077,1979-08-01,0.063,1.063,1.0077,1.584458765787249,1.8953066186086067
638,-0.008199999999999999,0.0083,1979-09-01,0.00010000000000000113,1.0001,1.0083,1.5846172116638277,1.9110376635430582
639,-0.081,0.0087,1979-10-01,-0.0723,0.9277,1.0087,1.470049387260533,1.9276636912158827
640,0.0521,0.0099,1979-11-01,0.062,1.062,1.0099,1.5611924492706861,1.9467475617589198
641,0.0179,0.0095,1979-12-01,0.0274,1.0274,1.0095,1.603969122380703,1.9652416635956298
642,0.0551,0.008,1980-01-01,0.0631,1.0631,1.008,1.7051795740029254,1.9809635969043948
643,-0.0122,0.0089,1980-02-01,-0.003300000000000001,0.9967,1.0089,1.6995524814087157,1.9985941729168437
644,-0.129,0.0121,1980-03-01,-0.1169,0.8831,1.0121,1.5008747963320368,2.0227771624091377
645,0.0397,0.0126,1980-04-01,0.0523,1.0523,1.0126,1.5793705481802023,2.048264154655493
646,0.0526,0.008100000000000001,1980-05-01,0.060700000000000004,1.0607,1.0081,1.6752383404547406,2.0648550943082022
647,0.0306,0.0061,1980-06-01,0.036699999999999997,1.0367,1.0061,1.7367195875494295,2.077450710383482
648,0.0649,0.0053,1980-07-01,0.0702,1.0702,1.0053,1.8586373025953995,2.0884611991485147
649,0.018000000000000002,0.0064,1980-08-01,0.0244,1.0244,1.0064,1.9039880527787272,2.101827350823065
650,0.0219,0.0075,1980-09-01,0.0294,1.0294,1.0075,1.959965301530422,2.117591055954238
651,0.0106,0.0095,1980-10-01,0.0201,1.0201,1.0095,1.9993606040911833,2.1377081709858037
652,0.0959,0.0096,1980-11-01,0.1055,1.1055,1.0096,2.210293147822803,2.1582301694272674
653,-0.0452,0.0131,1980-12-01,-0.0321,0.9679,1.0131000000000001,2.139342737777691,2.186502984646765
654,-0.0504,0.0104,1981-01-01,-0.04,0.96,1.0104,2.0537690282665833,2.2092426156870912
655,0.005699999999999999,0.0107,1981-02-01,0.016399999999999998,1.0164,1.0107,2.0874508403301553,2.2328815116749428
656,0.0356,0.0121,1981-03-01,0.0477,1.0477,1.0121,2.1870222454139037,2.2598993779662098
657,-0.0211,0.0108,1981-04-01,-0.0103,0.9897,1.0108,2.1644959162861404,2.2843062912482446
658,0.0011,0.0115,1981-05-01,0.0126,1.0126,1.0115,2.1917685648313454,2.3105758135975996
659,-0.0236,0.013500000000000002,1981-06-01,-0.010099999999999998,0.9899,1.0135,2.169631702326549,2.3417685870811673
660,-0.0154,0.0124,1981-07-01,-0.003000000000000001,0.997,1.0124,2.163122807219569,2.3708065175609736
661,-0.0704,0.0128,1981-08-01,-0.057600000000000005,0.9424,1.0128,2.038526933523722,2.401152840985754
662,-0.0717,0.0124,1981-09-01,-0.0593,0.9407,1.0124,1.9176422863657652,2.4309271362139775
663,0.0492,0.0121,1981-10-01,0.0613,1.0613,1.0121,2.0351937585199864,2.4603413545621664
664,0.0336,0.0107,1981-11-01,0.0443,1.0443,1.0107,2.125352842022422,2.4866670070559813
665,-0.0365,0.0087,1981-12-01,-0.0278,0.9722,1.0087,2.0662680330141985,2.508301010017368
666,-0.032400000000000005,0.008,1982-01-01,-0.024400000000000005,0.9756,1.008,2.015851093008652,2.528367418097507
667,-0.05860000000000001,0.0092,1982-02-01,-0.04940000000000001,0.9506,1.0092,1.9162680490140245,2.5516283983440045
668,-0.0187,0.0098,1982-03-01,-0.008900000000000002,0.9911,1.0098,1.8992132633777996,2.5766343566477756
669,0.0327,0.0113,1982-04-01,0.044,1.044,1.0113,1.9827786469664228,2.6057503248778957
670,-0.039900000000000005,0.0106,1982-05-01,-0.029300000000000007,0.9707,1.0106,1.9246832326103067,2.6333712783216012
671,-0.0309,0.0096,1982-06-01,-0.0213,0.9787,1.0096,1.8836874797557073,2.6586516425934885
672,-0.0319,0.0105,1982-07-01,-0.021399999999999995,0.9786,1.0105,1.843376567688935,2.68656748484072
673,0.1114,0.0076,1982-08-01,0.119,1.119,1.0076,2.0627383792439185,2.70698539772551
674,0.0129,0.0051,1982-09-01,0.018000000000000002,1.018,1.0051,2.099867670070309,2.72079102325391
675,0.113,0.0059,1982-10-01,0.1189,1.1189,1.0059,2.349541936041669,2.736843690291108
676,0.0467,0.0063,1982-11-01,0.053,1.053,1.0063,2.4740676586518773,2.754085805539942
677,0.0055000000000000005,0.0067,1982-12-01,0.0122,1.0122,1.0067,2.50425128408743,2.7725381804370595
678,0.036000000000000004,0.0069,1983-01-01,0.04290000000000001,1.0429,1.0069,2.6116836641747807,2.791668693882075
679,0.0259,0.0062,1983-02-01,0.0321,1.0321,1.0062,2.6955187097947912,2.8089770397841436
680,0.0282,0.0063,1983-03-01,0.0345,1.0345,1.0063,2.7885141052827116,2.8266735951347837
681,0.0667,0.0071,1983-04-01,0.07379999999999999,1.0738,1.0071,2.994306446252576,2.846742977660241
682,0.0052,0.0069,1983-05-01,0.0121,1.0121,1.0069,3.0305375542522324,2.8663855042060966
683,0.0307,0.0067,1983-06-01,0.0374,1.0374,1.0067,3.143879658781266,2.8855902870842773
684,-0.0407,0.0074,1983-07-01,-0.033299999999999996,0.9667,1.0074,3.03918846614385,2.906943655208701
685,-0.005,0.0076,1983-08-01,0.0026,1.0026,1.0076,3.047090356155824,2.9290364269882874
686,0.0091,0.0076,1983-09-01,0.0167,1.0167,1.0076,3.097976765103626,2.9512971038333986
687,-0.0344,0.0076,1983-10-01,-0.0268,0.9732,1.0076,3.0149509877988487,2.9737269618225324
688,0.0216,0.006999999999999999,1983-11-01,0.0286,1.0286,1.007,3.1011785860498957,2.99454305055529
689,-0.0178,0.0073,1983-12-01,-0.010499999999999999,0.9895,1.0073,3.068616210896372,3.0164032148243436
690,-0.0192,0.0076,1984-01-01,-0.0116,0.9884,1.0076,3.033020262849974,3.0393278792570086
691,-0.0482,0.0071,1984-02-01,-0.0411,0.9589,1.0071,2.90836313004684,3.060907107199734
692,0.0063,0.0073,1984-03-01,0.013600000000000001,1.0136,1.0073,2.947916868615477,3.083251729082292
693,-0.0051,0.008100000000000001,1984-04-01,0.003000000000000001,1.003,1.0081,2.956760619221323,3.1082260680878586
694,-0.0597,0.0078,1984-05-01,-0.0519,0.9480999999999999,1.0078,2.803304743083736,3.132470231418944
695,0.0182,0.0075,1984-06-01,0.0257,1.0257,1.0075,2.8753496749809884,3.1559637581545865
696,-0.0274,0.008199999999999999,1984-07-01,-0.019200000000000002,0.9808,1.0082,2.8201429612213533,3.181842660971454
697,0.1028,0.0083,1984-08-01,0.1111,1.1111,1.0083,3.1334608442130456,3.2082519550575173
698,-0.008,0.0086,1984-09-01,0.0005999999999999998,1.0006,1.0086,3.1353409207195733,3.235842921871012
699,-0.0084,0.01,1984-10-01,0.0016000000000000007,1.0016,1.01,3.1403574661927247,3.268201351089722
700,-0.0176,0.0073,1984-11-01,-0.0103,0.9897,1.0073,3.1080117842909396,3.2920592209526776
701,0.0184,0.0064,1984-12-01,0.0248,1.0248,1.0064,3.1850904765413546,3.3131283999667747
702,0.0799,0.006500000000000001,1985-01-01,0.0864,1.0864,1.0065,3.4602822937145277,3.3346637345665586
703,0.0122,0.0058,1985-02-01,0.018000000000000002,1.018,1.0058,3.522567375001389,3.354004784227045
704,-0.0084,0.0062,1985-03-01,-0.0021999999999999997,0.9978,1.0062,3.514817726776386,3.3747996138892526
705,-0.0096,0.0072,1985-04-01,-0.0023999999999999994,0.9976,1.0072,3.506382164232123,3.3990981711092556
706,0.0509,0.0066,1985-05-01,0.0575,1.0575,1.0066,3.7079991386754703,3.4215322190385766
