permno,date,ret
13610,3/30/2007,-0.019675935
13610,4/30/2007,0.011806307
13610,5/31/2007,0.192532122
13610,6/29/2007,0.037549417
13610,7/31/2007,-0.006190436
13610,8/31/2007,0.036895048
13610,9/28/2007,0.043843217
13610,10/31/2007,0.01787317
13610,11/30/2007,-0.071992978
13610,12/31/2007,-0.076886371
13610,1/31/2008,0.06001034
13610,2/29/2008,-0.052220616
13610,3/31/2008,0.028095782
13610,4/30/2008,0.02074898
13610,5/30/2008,0.125433803
13610,6/30/2008,0.163555562
13610,7/31/2008,0.135981649
13610,8/29/2008,-0.088433087
13610,9/30/2008,-0.279078424
13610,10/31/2008,-0.063917518
13610,11/28/2008,-0.087004445
13610,12/31/2008,0.103785157
13610,1/30/2009,-0.222898215
13610,2/27/2009,-0.24270466
13610,3/31/2009,0.366858333
13610,4/30/2009,-0.117028736
13610,5/29/2009,0.076190419
13610,6/30/2009,-0.110029891
13610,7/31/2009,0.159798115
13610,8/31/2009,0.228426382
13610,9/30/2009,0.041816056
13610,10/30/2009,-0.124426603
13610,11/30/2009,0.111329399
13610,12/31/2009,0.044722717
13610,1/29/2010,-0.058219202
13610,2/26/2010,0.073333345
13610,3/31/2010,0.120502606
13610,4/30/2010,0.070336349
13610,5/28/2010,-0.077619046
13610,6/30/2010,-0.056338023
13610,7/30/2010,0.122166894
13610,8/31/2010,-0.107881747
13610,9/30/2010,0.125628144
13610,10/29/2010,-0.008432544
13610,11/30/2010,-0.076037988
13610,12/31/2010,0.123152703
13610,1/31/2011,-0.051169645
13610,2/28/2011,-0.033898238
13610,3/31/2011,0.231595874
13610,4/29/2011,0.123036638
13610,5/31/2011,-0.059052031
13610,6/30/2011,-0.056619506
13610,7/29/2011,-0.077228598
13610,8/31/2011,-0.036824454
13610,9/30/2011,-0.096790381
13610,10/31/2011,0.047196023
13610,11/30/2011,0.018027538
13610,12/30/2011,0.034210507
13610,1/31/2012,0.129771054
13610,2/29/2012,-0.043693695
13610,3/30/2012,0.03423677
13610,4/30/2012,-0.036321882
13610,5/31/2012,-0.075858735
13610,6/29/2012,0.08972349
13610,7/31/2012,-0.031115349
13610,8/31/2012,0.068675913
13610,9/28/2012,0.013999031
13610,10/31/2012,-0.045559127
13610,11/30/2012,0.009161031
13610,12/31/2012,0.041485801
13610,1/31/2013,0.077350631
13610,2/28/2013,0.00429921
13610,3/28/2013,0.088946439
13610,4/30/2013,-0.041633595
13610,5/31/2013,0.039718669
13610,6/28/2013,-0.040513445
13610,7/31/2013,0.02006687
13610,8/30/2013,-0.045081936
13610,9/30/2013,-0.001298731
13610,10/31/2013,-0.024273926
13610,11/29/2013,0.111950226
13610,12/31/2013,0.161900952
13610,1/31/2014,-0.108838864
13610,2/28/2014,0.026448909
13610,3/31/2014,0.054219168
13610,4/30/2014,0.017747184
13610,5/30/2014,-0.023131685
13610,6/30/2014,-0.012110089
13610,7/31/2014,-0.0130015
13610,8/29/2014,0.034625564
13610,9/30/2014,-0.074752688
13610,10/31/2014,-0.04000001
13610,11/28/2014,0.046204623
13610,12/31/2014,-0.094992027
13610,1/30/2015,0.101010062
13610,2/27/2015,0.126446009
13610,3/31/2015,0.142653346
13610,4/30/2015,-0.078339577
13610,5/29/2015,-0.003047779
13610,6/30/2015,-0.078317337
13610,7/31/2015,-0.146938801
13610,8/31/2015,-0.123097032
13610,9/30/2015,-0.15781562
13610,10/30/2015,0.14098756
13610,11/30/2015,0.145464033
13610,12/31/2015,-0.207165837
13610,1/29/2016,-0.01853996
13610,2/29/2016,-0.093270406
13610,3/31/2016,0.145778432
13610,4/29/2016,0.254461706
13610,5/31/2016,0.065167472
13610,6/30/2016,0.079530634
13610,7/29/2016,-0.158615157
13610,8/31/2016,0.044976067
13610,9/30/2016,-0.051755961
13610,10/31/2016,0.068713441
